ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
,,1300 south montgomery avenue,,,,al,35660,al_ami-4,,acute care hospitals,government - hospital district or authority,yyr,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
14 patients,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,al,35660,jefferson,2563864556,acute care hospitals,,yes,heart attack,mm--55,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
10019,helen keller memorial hospital,1300 south montgomery avenue,,,,aall,35660,jefferson,heart attack,acute care hospitals,,,heart attack,ami-7a,rryaarrcckkoqttiidy  vknnriihrrooollhttuvmmeeeviiinn  iitthh  3300nuuuyee  ooff  srriigk,,0 patients,jefferson
10019,helen keller memorial hospital,0000ittgnoorpeeeyy  vveey,,,,al,,,jefferson,aaccuuccrreegoozppiirqlla,government - hospital district or authority,yes,heart attack,ami-8a,wqrrr  aagsvkk  yuba  tiieefu  wwiiyii99  nnuuyeedooffqrroaa,,0 patients,
11,,1300 south montgomery avenue,,,,,35660,,2563864556,,,,heart failure,hf-1,,80%,114 patients,
10019,helen keller memorial hospital,heart failure patients given an evaluation of left ventricular systolic (lvs) function,,,sheffield,al,35660,jefferson,heart failure patients given an evaluation of left ventricular systolic (lvs) function,acute care hospitals,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,sllhhc22
,helen keller memorial hospital,,,,sheffield,al,,jefferson,2563864556,al,government - hospital district or authority,yes,,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
10019,helen keller memorial hospital,1300 south montgomery avenue,,,sheffield,yes,,jefferson,,,government - hospital district or authority,yes,heart failure,hf-4,,100%,41 patients,
,wuuttdqssgaasmmsxccaall  beerr,1108 ross clark circle,,,dothan,hhoojssttp,yes,hhoojssttp,3347938701,acute care hospitals,ggirrnnnwy    ssiigaadduzttoccirr  suuttgoofr,hhoojssttp,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
10001,southeast alabama medical center,,,,dothan,,36302,houston,,qfrccaarrw  bdiiaass,,10001,,,gwqrr  qyqkk  riirmy  ggiivvnn  sknn  aattddiissv,99%,516 patients,llaa22
,southeast alabama medical center,1108 ross clark circle,,,,al,,,,,,yes,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
,southeast alabama medical center,1108 ross clark circle,,,244 patients,so,36302,,36302,acute care hospitals,,,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,heart attack,,,acute care hospitals,government - hospital district or authority,1108 ross clark circle,heart attack,,hhsgttyaavj  osttiirnnttd  vveenn  dyqooccrraayfkccjw,99%,441 patients,al_ami-5
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,dothan,36302,,3347938701,acute care hospitals,government - hospital district or authority,hss,heart attack,,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,aao__aaii--
10001,,1108 ross clark circle,,,dothan,al,33663300,houston,3344337700,acute care hospitals,,yes,,ami-8a,,72%,40 patients,aakaa--aa
10001,yes,1108 ross clark circle,,,dothan,al,yes,houston,al_hf-1,hf-1,government - hospital district or authority,yes,,government - hospital district or authority,,78%,455 patients,al_hf-1
10001,,1108 ross clark circle,,,dothan,al,,,heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,government - hospital district or authority,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,qoc22
10001,southeast alabama medical center,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,,dothan,al,36302,,yes,acute care hospitals,,yes,heart failure,southeast alabama medical center,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,165 patients,southeast alabama medical center
10001,heart failure patients given smoking cessation advice/counseling,1108 ross clark circle,,,,al,,houston,,acute care hospitals,ggpvvtjmmbr--hhoowouttsddiissttrrkttlrr  aauuhhleky,yes,heart failure,yr44,heart failure patients given smoking cessation advice/counseling,100%,110 patients,
10001,,1108 ross clark circle,,,dothan,,,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,pneumonia,,,93%,191 patients,al_pn-2
10001,southeast alabama medical center,,,,dothan,al,00,al,,125 patients,government - hospital district or authority,eess,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,125 patients,pneumonia
houston,southeast alabama medical center,,,,dothan,,,houston,3347938701,107 patients,southeast alabama medical center,,,pn-4,,99%,107 patients,
,southeast alabama medical center,1108 ross clark circle,,,dothan,,36302,houston,,acute care hospitals,government - hospital district or authority,yy,,ppnn--x,,92%,196 patients,
10001,aoouuydqssg  aakskmmeeiiccsk  cceeyeee,1108 ross clark circle,,,,al,houston,,3347938701,acute care hospitals,80%,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),80%,147 patients,al_pn-6
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302,,3347938701,,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84%,160 patients,1108 ross clark circle
10001,southeast alabama medical center,1108 ross clark circle,,,al_scip-card-2,al,36302,houston,3347938701,acute care hospitals,,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72%,79 patients,al_scip-card-2
10001,southeast alabama medical center,1108 ross clark circle,,,houston,aallssk--knnc--11,36302,houston,3347938701,qveefw  jioorqss,government - hospital district or authority,qveefw  jioorqss,dyfiicclliijdvyii  rrdbrmriim,houston,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,399 patients,qveefw  jioorqss
000011,,1108 ross clark circle,,,ehhq,405 patients,odvii22,houston,,,government - hospital district or authority,yes,405 patients,,ajfhrraaiieennttdshhrrreefvvdnntthhd  iihkkiix  ooff  aattniiiyfttoohhllppoeceettuwfttoi,98%,405 patients,odvii22
00,southeast alabama medical center,11  tpxekk  fiieccoee,,,dothan,aall,,,3347938701,,government - hospital district or authority,yes,surgical infection prevention,88%,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),88%,385 patients,al_scip-inf-3
10001,southeast alabama medical center,1108 ross clark circle,,,dothan,,36302,96%,k__sscciio--iinng--,acute care hospitals,,southeast alabama medical center,,,ohhdsrruueggwfh  iirttspd  llp((bbooooo  lluuvoodoss  lrpp  uuef  oolddccgrrp  ghhw  sstggj  ffttdrrauurrggeerr,96%,136 patients,k__sscciio--iinng--
10001,southeast alabama medical center,,,,dothan,10001,36302,houston,,acute care hospitals,government - hospital district or authority,dss,,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,537 patients,scip-inf-6
,,1108 ross clark circle,,,,al,,houston,3347938701,,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,185 patients,
10001,surgical infection prevention,1108 ross clark circle,,,pttj,al,36302,,,fttee  xsrree  giottqkss,al_scip-vte-2,,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,184 patients,al_scip-vte-2
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,,,,,acute care hospitals,government - hospital district or authority,yyra,heart attack,ami-1,heart attack patients given aspirin at arrival,80%,20 patients,al_ami-1
10005,marshall medical center south,55  ss  iivywwaa4433  lhh,,,boaz,,35957,marshall,2565938310,35957,hoovveetmmttgdiittsll  essvtt  rruuttoorrogh,hrss,heart attack,ami-2,heart attack patients given aspirin at discharge,60%,5 patients,
100%,al_ami-3,,,,10005,aao,35957,yes,2565938310,,government - hospital district or authority,yes,heart attack,,government - hospital district or authority,100%,2 patients,al_ami-3
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,al,10005,marshall,225555333300,acute care hospitals,0 patients,yyw,heart attack,ami-4,,,0 patients,al_ami-4
,marshall medical center south,2505 u s highway 431 north,,,boaz,al,35957,marshall,,,government - hospital district or authority,,heart attack,aan,heart attack patients given beta blocker at discharge,100%,5 patients,100%
10005,eak  ofll  ccnnttw  ditt,2255  jsshhgghhwwqyy  443311  oorr,,,iaas,,35957,marshall,,acute care hospitals,government - hospital district or authority,,government - hospital district or authority,ami-7a,,,0 patients,qosnus
jttr  ccrreehhssqss,marshall medical center south,2505 u s highway 431 north,,,heart attack patients given pci within 90 minutes of arrival,al,,marshall,2233881100,al,government - hospital district or authority,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,al_ami-8a
,marshall medical center south,,,,10005,q,,,,acute care hospitals,government - hospital district or authority,yes,heart failure,2565938310,heart failure patients given discharge instructions,78%,110 patients,
,99%,,,,,al,35957,marshall,556633,acute care hospitals,556633,yes,heart failure,,,99%,160 patients,al_hf-2
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,al,,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure,90%,69 patients,al_hf-3
10005,34 patients,2505 u s highway 431 north,,,,al,35957,marshall,2565938310,,government - hospital district or authority,,q  ffskuurrd,hf-4,34 patients,94%,34 patients,al_hf-4
10005,mmsllllmmeeiivq  veennge  ssiuuhh,2505 u s highway 431 north,,,boaz,o,35957,marshall,mmsllllmmeeiivq  veennge  ssiuuhh,pneumonia,mmsllllmmeeiivq  veennge  ssiuuhh,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,97%,172 patients,al_pn-2
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,acute care hospitals,35957,marshall,2565938310,acute care hospitals,ibeerrmmwnnttbooppll  ksseiif  oorryttjii,120 patients,pneumonia,pn-3b,,97%,120 patients,
10005,,,,,boaz,,35957,marshall,2565938310,pneumonia patients given smoking cessation advice/counseling,government - hospital district or authority,yes,nnuukq,al_pn-4,pneumonia patients given smoking cessation advice/counseling,97%,98 patients,al_pn-4
10005,onnx,211 patients,,,boaz,,35957,marshall,2565938310,acute care hospitals,tvveemmmeenn  --  hhookttso  ddeiiccttoorrsgtoryy,yes,96%,10005,,96%,211 patients,al_pn-5c
tpcfnnnn  --  glwoiitts  zgeiicctt  it  aauutthhttt,marshall medical center south,2505 u s highway 431 north,,,bbiqzz,al,35957,ssq,22555533883311,acute care hospitals,tpcfnnnn  --  glwoiitts  zgeiicctt  it  aauutthhttt,yes,pn-6,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),92%,175 patients,92%
10005,marshall medical center south,,,,pn-7,al,,kaarrhhq,2565938310,,,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,81%,118 patients,al_pn-7
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,al,surgical infection prevention,marshall,2565938310,yes,government - hospital district or authority,yes,surgical infection prevention,government - hospital district or authority,ssyeeerraauwnnqhhieeeeskkii  hheerrtt  ddiggssccqkx  httqhccrrd  heefflrree  cckuggttootthheeywugq  sgooswfmdjr  rttq  oiccjeeddrriinn  yeeppru  nuug  bbeefflrrr  aaj  aadttrhhdirrhee,36%,14 patients,
10005,marshall medical center south,2505 u s highway 431 north,,,bbooaazz,bbooaazz,35957,marshall,2565938310,al_scip-inf-1,government - hospital district or authority,,surgical infection prevention,ccpp--iibd,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,96%,168 patients,al_scip-inf-1
10005,marshall medical center south,,,,boaz,al,35957,marshall,,acute care hospitals,ggpvveebneenn--  iqk  fiizrrrkv  irrquurhhiiyy,surgical infection prevention,surgical infection prevention,,uuottiieettzqg  eehiigw  j  rriivhhrkkiinn  pg  aajttkbbiioox  oobpp  vvdnnttiinnffrccriioonn,93%,167 patients,al_scip-inf-2
10005,marshall medical center south,2505 u s highway 431 north,,,ooaa,al,scip-inf-3,marshall,2565938310,,,yes,,ooaa,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,158 patients,al_scip-inf-3
0000,,2505 u s highway 431 north,,,boaz,al,surgical infection prevention,,2565938310,,,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,2565938310
,,,,,boaz,al,35957,marshall,,uuttxq  gizourlld,boaz,yes,surgical infection prevention,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,237 patients,al_scip-inf-6
10005,,2505 u s highway 431 north,,,hpqs,al,78%,aieggccsiibeeccyiiooewvvoob,2565938310,acute care hospitals,government - hospital district or authority,yes,aieggccsiibeeccyiiooewvvoob,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,78%,76 patients,qo__ssccpp--cg--
10005,marshall medical center south,2505 u s highway 431 north,,,boaz,,335555,marshall,2565938310,2565938310,ggeeeenng--ppottsllsozrrufoo  sttiirh,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,74%,76 patients,335555
10006,eliza coffee memorial hospital,205 marengo street,,,rrrnnccd,,voluntary non-profit - other,lauderdale,2567688400,10006,voluntary non-profit - other,35631,heart attack,ami-1,,97%,159 patients,al_ami-1
heart attack,eliza coffee memorial hospital,2200mmaaeefoossyteett,,,florence,al,35631,247 patients,2567688400,acute care hospitals,gpkjttaarrnn--opgr  ltty,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,96%,247 patients,al_ami-2
10006,eliza coffee memorial hospital,205 marengo street,,,,,336633,acute care hospitals,2567688400,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patients,205 marengo street
,,205 marengo street,,,,al,33,lauderdale,,acute care hospitals,,wd,,ami-4,heart attack patients given smoking cessation advice/counseling,100%,103 patients,
,eliza coffee memorial hospital,205 marengo street,,,florence,s,35631,aauuseeeddq,,acute care hospitals,voluntary non-profit - other,yes,heart attack,,heart attack patients given beta blocker at discharge,96%,227 patients,al_ami-5
,,,,,yes,al,,,2567688400,acute care hospitals,,yes,heart attack,,bwrqrraaccor  tob  ffiibbonnoollyyrf  nrccj  wwiiyonn  33nndss    srrsk,,0 patients,al_ami-7a
10006,10006,205 marengo street,,,florence,,35631,lauderdale,,,voluntary non-profit - other,,,ami-8a,heart attack patients given pci within 90 minutes of arrival,98%,61 patients,al_ami-8a
,,2200mmqrreeggwtteeew,,,florence,al,35631,,2567688400,ccytteeaafr  oopputtqkss,,,heart failure,hf-1,heart failure patients given discharge instructions,79%,217 patients,al_hf-1
10006,eliza coffee memorial hospital,205 marengo street,,,florence,al,3366,,2567688400,,vvpomgrru  nnnn--pprrooffott--  yhheef,yes,heart failure,ff,heart failure patients given an evaluation of left ventricular systolic (lvs) function,97%,259 patients,al_hf-2
10006,kiis  ficdd  mmrnkaak  yissppiigaa,205 marengo street,,,florence,,35631,lauderdale,2567688400,acute care hospitals,oouubaarryy  bim--orriffii  oorhhee,ee,heart failure,hf-3,,82%,84 patients,
10006,eliza coffee memorial hospital,205 marengo street,,,ooofeenn,al,35631,lauderdale,2567688400,acute care hospitals,voluntary non-profit - other,yes,,hf-4,35631,100%,53 patients,k__ff
10006,eliza coffee memorial hospital,voluntary non-profit - other,,,,aao,35631,lauderdale,2567688400,,voluntary non-profit - other,yes,,pn-2,pneumonia patients assessed and given pneumococcal vaccination,90%,174 patients,
,acute care hospitals,22mmqfwgg  rrrtt,,,florence,,voluntary non-profit - other,,2567688400,acute care hospitals,voluntary non-profit - other,yes,,pn-3b,,95%,137 patients,al_pn-3b
,eliza coffee memorial hospital,205 marengo street,,,205 marengo street,q,voluntary non-profit - other,lauderdale,,acute care hospitals,voluntary non-profit - other,yes,,voluntary non-profit - other,pneumonia patients given smoking cessation advice/counseling,100%,65 patients,al_pn-4
lauderdale,eliza coffee memorial hospital,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,,,florence,al,335533,lauderdale,,acute care hospitals,voluntary non-profit - other,florence,pneumonia,onn--55cc,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,200 patients,eliza coffee memorial hospital
,,205 marengo street,,,florence,al,35631,lauderdale,,lauderdale,voluntary non-profit - other,yes,al,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),91%,138 patients,voluntary non-profit - other
ommmpbiiqttu  aaeessssrdd  aamdd  uceejubrkuurzzvvaafkbaariinn,eliza coffee memorial hospital,205 marengo street,,,cllooeennxd,,35631,lauderdale,,,,yes,pneumonia,pn-7,ommmpbiiqttu  aaeessssrdd  aamdd  uceejubrkuurzzvvaafkbaariinn,88%,85 patients,pneumonia
,,205 marengo street,,,,al,35631,,2567688400,acute care hospitals,biuunnytu  nnbppooiig  --phhee,yes,ifiixaak  iinnffccttiioomorreeceemgiiinn,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96%,107 patients,
10006,,,,,,al,,lauderdale,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,,voluntary non-profit - other,yes,10006,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,457 patients,sofuo--g11
0066,eliza coffee memorial hospital,205 marengo street,,,florence,,35631,462 patients,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,eliza coffee memorial hospital,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,462 patients,al_scip-inf-2
10006,,205 marengo street,,,dlliteejfd,al,35631,,2567688400,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,439 patients,al_scip-inf-3
10006,surgical infection prevention,10006,,,florence,al,35631,,2567688400,acute care hospitals,voluntary non-profit - other,,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,89%,130 patients,al_scip-inf-4
66,eliza coffee memorial hospital,205 marengo street,,,florence,,35631,lauderdale,,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-inf-6,,100%,619 patients,al_scip-inf-6
000000,,,,,fflloorrdccee,al,335566,lauderdale,,,voluntary non-profit - other,yes,surgical infection prevention,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,242 patients,al_scip-vte-1
10006,surgical infection prevention,0055  nqeeennpssgrreew,,,,,35631,lauderdale,2266778800,acute care hospitals,,35631,surgical infection prevention,,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,92%,242 patients,
10007,,702 n main st,,,opp,opp,,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,,10007,heart attack patients given aspirin at arrival,60%,5 patients,al_ami-1
10007,mmowoommeerruaall  hhssppoo,702 n main st,,,opp,aa,,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,yaarryaaraacc,ami-2,heart attack patients given aspirin at discharge,50%,2 patients,
,mmoknrmmpkaao  ao,,,,opp,al,664466,,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,0 patients,al_ami-3
,mizell memorial hospital,m,,,pp,al,36467,,3344933541,,voluntary non-profit - private,m,,ami-4,heart attack patients given smoking cessation advice/counseling,,0 patients,al_ami-4
10007,nkzzllnmmprrii  joossii,702 n main st,,,ipp,smmo--55,36467,xigiivm,,,,no,heart attack,smmo--55,702 n main st,100%,2 patients,al_ami-5
10007,al,702 n main st,,,,al,36467,covington,boo,acute care hospitals,,,,al,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
,al,702 n main st,,,pppp,al,3344,covington,3344933541,acute care hospitals,voluntary non-profit - private,,heart attack,,heart attack patients given pci within 90 minutes of arrival,,0 patients,pppp
000077,mizell memorial hospital,al,,,,al,59 patients,covington,3344933541,acute care hospitals,mizell memorial hospital,no,702 n main st,hf-1,,98%,59 patients,mizell memorial hospital
10007,mizell memorial hospital,702 n main st,,,opp,al,36467,covington,3344933541,acute care hospitals,,hf-2,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,al_hf-2
,,nnniinny,,,oooo,,36467,,334444334411,acute care hospitals,vvlllirrh  nnnn--oidott    pprriivvaar,no,yraarrg  krree,hhr--,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),64%,14 patients,qohh33
10007,mizell memorial hospital,702 n main st,,,,al,36467,,3344933541,,,no,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,8 patients,
,,702 n main st,,,opp,,446677,covington,44994411,acute care hospitals,,no,446677,,pneumonia patients assessed and given pneumococcal vaccination,87%,85 patients,al_pn-2
10007,,64 patients,,,,al,36467,covington,3344933541,,voluntary non-profit - private,voluntary non-profit - private,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,78%,64 patients,qkppmn
10007,mizell memorial hospital,702 n main st,,,opp,al,336644,,3344933541,acute care hospitals,louuttqrruoonnpptt--  ppeiibee,no,,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,28 patients,al_pn-4
10007,,702 n main st,,,opp,al,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,pneumonia,,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,87 patients,al_pn-5c
10007,mizell memorial hospital,702 n main st,,,opp,covington,36467,covington,3344933541,,voluntary non-profit - private,no,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),88%,57 patients,al_pn-6
10007,,,,,,al,36467,63 patients,3344933541,,voluntary non-profit - private,,pneumonia,pn-7,al_pn-7,90%,63 patients,al_pn-7
00000077,,702 n main st,,,00000077,,36467,covington,3344933541,,,00000077,,scip-card-2,,91%,11 patients,al_scip-card-2
10007,36467,702 n main st,,,,702 n main st,36467,covington,3344933541,aauuttccaarr  goossoksllz,voluntary non-profit - private,no,surgical infection prevention,,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,88%,101 patients,
10007,,702 n main st,,,opp,,36467,covington,702 n main st,aaccgrver  gooppttoz,voluntary non-profit - private,no,36467,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,101 patients,
10007,,7700  nn  mmsott,,,ioo,,,covington,,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-3,voluntary non-profit - private,93%,100 patients,
,mizell memorial hospital,702 n main st,,,no,opp,36467,covington,3344933541,opp,voluntary non-profit - private,no,surgical infection prevention,mizell memorial hospital,ll  eedyeethtteemttwqss  lloooox  ifaarr  ((nllpooddggkooee  iiippttjmddixttiknntteeddqssrriir  aaffttr  zggweyy,,0 patients,al_scip-inf-4
,,100%,,,opp,,36467,covington,3344933541,al_scip-inf-6,voluntary non-profit - private,no,,scip-inf-6,,100%,123 patients,al_scip-inf-6
110000,kiizzeellnwpiiaall  jzoiittaa,702 n main st,,,opp,covington,36467,covington,3344933541,no,voluntary non-profit - private,covington,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,87%,77 patients,3344933541
10007,mizell memorial hospital,702 n main st,,,al_scip-vte-2,covington,al_scip-vte-2,covington,3344933541,al_scip-vte-2,,no,surgical infection prevention,scip-vte-2,,88%,76 patients,al_scip-vte-2
10008,dssaaww  cckmiiryyhhssiiysll,101 hospital circle,,,,,36049,crenshaw,3343353374,acute care hospitals,government - federal,,heart attack,ami-1,heart attack patients given aspirin at arrival,0%,1 patients,
88,crenshaw community hospital,101 hospital circle,,,government - federal,al,,crenshaw,3343353374,heart attack,government - federal,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,1 patients,al_ami-2
,crenshaw community hospital,,,,luverne,al,36049,crenshaw,,,vlcrrjkeer  xqk,,heart attack,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,0 patients,al_ami-3
11000000,crenshaw community hospital,,,,luverne,,36049,crenshaw,3343353374,acute care hospitals,hpvveeby  --ffeeraak,yes,heart attack,,heart attack patients given smoking cessation advice/counseling,,0 patients,11000000
10008,crenshaw community hospital,00booppraao  ccurrw,,,,al,,vrrrjhhaae,3343353374,ami-5,,yes,heart attack,vrrrjhhaae,hhrr  syaax  qgeennarbbwysllvkke  sr  iizhhqee,0%,1 patients,al_ami-5
1100,crenshaw community hospital,101 hospital circle,,,luverne,,36049,crenshaw,3344557744,,government - federal,yes,,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,al_ami-7a
,,101 hospital circle,,,oicee,al,00,crenshaw,3343353374,ccuu  cc  oossiittoss,government - federal,yes,,ami-8a,heart attack patients given pci within 90 minutes of arrival,,0 patients,oicee
